interface_name,ip_address,subnet_mask,vlan_id,description,status,protocol
GigabitEthernet0/0,192.168.1.1,255.255.255.0,1,WAN Connection,up,up
GigabitEthernet0/1,192.168.10.1,255.255.255.0,10,Management VLAN,up,up
GigabitEthernet0/2,192.168.20.1,255.255.255.0,20,User VLAN,up,up
GigabitEthernet0/3,192.168.30.1,255.255.255.0,30,Server VLAN,up,up
GigabitEthernet1/0,unassigned,unassigned,1,Unused Port,administratively down,down
GigabitEthernet1/1,unassigned,unassigned,1,Unused Port,administratively down,down
GigabitEthernet1/2,192.168.40.1,255.255.255.0,40,Guest VLAN,up,up
GigabitEthernet1/3,192.168.50.1,255.255.255.0,50,DMZ VLAN,up,up
FastEthernet0/0,10.0.0.1,255.255.255.252,1,Point-to-Point Link,up,up
FastEthernet0/1,10.0.0.5,255.255.255.252,1,Point-to-Point Link,up,up
Loopback0,1.1.1.1,255.255.255.255,1,Primary Loopback,up,up
Loopback1,2.2.2.2,255.255.255.255,1,Secondary Loopback,up,up
Loopback100,100.100.100.100,255.255.255.255,1,Management Loopback,up,up
Loopback200,200.200.200.200,255.255.255.255,1,OSPF Router ID,up,up
Loopback300,10.1.1.1,255.255.255.255,1,BGP Router ID,up,up
Vlan10,192.168.10.1,255.255.255.0,10,Management SVI,up,up
Vlan20,192.168.20.1,255.255.255.0,20,User SVI,up,up
Vlan30,192.168.30.1,255.255.255.0,30,Server SVI,up,up
Vlan40,192.168.40.1,255.255.255.0,40,Guest SVI,up,up
Vlan50,192.168.50.1,255.255.255.0,50,DMZ SVI,up,up